INDEX,Street Name,Limit 1,Limit 2,Full Location Names 2023,Facility Type,Ped_Total,Ped_Female_Total,Ped_Male_Total,Ped_MobAssist_Total,Ped_Stroller_Total,Ped_Weekday_Total,Ped_Weekday_Female,Ped_Weekday_Male,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_Male,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female_Total,Bike_Male_Total,Bike_Sidewalk_Total,Bike_ContraFlow_Total,Bike_Helmet_Total,Bike_Weekday_Total,Bike_Weekday_Female,Bike_Weekday_Male,Bike_Weekday_Sidewalk,Bike_Weekday_ContraFlow,Bike_Weekday_Helmet,Bike_Weekend_Total,Bike_Weekend_Female,Bike_Weekend_Male,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Helmet,Scooter_Total,Scooter_Female_Total,Scooter_Male_Total,Scooter_Sidewalk_Total,Scooter_ContraFlow_Total,Scooter_Helmet_Total,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Male,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Male,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet,Other_Total,Other_Female_Total,Other_Male_Total,Other_Sidewalk_Total,Other_ContraFlow_Total,Other_Helmet_Total,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Male,Other_Weekday_Sidewalk,Other_Weekday_ContraFlow,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Male,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet,Latitude,Longitude
23-1,1st St,Central Ave,San Pedro St,1st St bw Central Ave & San Pedro St,Lane,3745,1716,2029,8,26,1848,796,1052,5,8,1897,920,977,3,18,102,13,89,16,6,30,72,8,64,14,2,25,30,5,25,2,4,5,38,3,35,11,7,4,31,3,28,11,5,3,7,0,7,0,2,1,17,1,16,5,2,10,9,1,8,5,0,2,8,0,8,7,0,0,34.0492622,-118.2391714
23-2,1st St,Soto St,Mathews St,1st St bw Soto St & Mathews St,Lane,674,253,421,14,7,512,201,311,9,5,162,52,110,5,2,81,4,77,32,9,13,49,3,46,20,5,11,32,1,31,12,4,2,22,2,20,12,0,1,19,2,17,11,0,0,3,0,3,1,0,1,20,0,20,15,1,4,17,0,17,15,0,1,3,0,3,3,0,0,34.043698,-118.2097698
23-3,4th St,Rossmore Ave,Arden Blvd,4th St bw Rossmore Ave & Arden Blvd,Sharrow,304,165,139,0,0,249,138,111,0,0,55,27,28,0,0,103,21,82,3,2,54,76,17,59,2,1,38,27,4,23,1,1,16,15,4,11,2,1,2,10,3,7,1,0,0,5,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0671361,-118.3273223
23-4,54th St,Gramercy Pl,Ruthelen St,54th St bw Gramercy Pl & Ruthelen St,Lane,146,46,100,2,2,103,35,68,1,2,43,11,32,1,0,36,2,34,12,2,20,26,2,24,4,2,18,10,0,10,8,0,2,11,3,8,1,2,9,10,2,8,1,2,9,1,1,0,0,0,0,3,0,3,0,1,3,1,0,1,0,0,1,2,0,2,2,0,0,33.993244,-118.313858
23-5,5th St,Main St,Spring St,5th St bw Main St & Spring St,Protected Lane,2768,713,2055,53,11,2042,497,1545,48,9,726,216,510,5,2,240,15,225,70,49,21,172,11,161,55,35,19,68,4,64,15,14,2,65,4,61,18,15,7,48,4,44,12,12,6,17,0,17,6,3,1,28,3,25,24,3,3,25,1,24,21,3,0,3,2,1,1,0,0,34.0466834,-118.2485488
23-6,6th St,Main St,Spring St,6th St bw Main St & Spring St,Protected Lane,2428,728,1700,19,7,1660,508,1152,15,5,768,220,548,4,2,235,7,228,59,45,12,173,6,167,38,37,9,62,1,61,21,8,3,80,11,69,20,24,1,55,8,47,16,18,1,25,3,22,4,6,0,20,2,18,12,4,4,18,1,17,10,2,2,2,1,1,0,0,0,34.0451654,-118.25003
23-7,Alameda St,1st St,2nd St,Alameda St bw 1st St & 2nd St,None,575,181,394,7,4,317,88,229,0,3,258,93,165,7,1,66,5,61,35,2,8,51,5,46,30,2,5,15,0,15,5,0,3,16,5,11,14,0,0,14,5,9,12,0,0,2,0,2,2,0,0,8,1,7,7,0,1,7,0,7,7,0,0,1,1,0,1,0,1,34.0489447,-118.2381169
23-8,Anaheim St,Avalon Blvd,Avalon Pl,Anaheim St bw Avalon Blvd & Avalon Pl,None,492,214,278,7,6,309,134,175,6,5,183,80,103,1,1,95,9,86,56,6,14,77,9,68,49,5,11,18,0,18,7,1,3,4,0,4,2,0,0,3,0,3,1,0,0,1,0,1,1,0,0,9,1,8,4,1,5,5,1,4,4,0,1,4,0,4,3,1,0,33.7799748,-118.2624651
23-9,Arroyo Seco Bike Path,Via Marisol,Ave 60,Arroyo Seco Bike Path bw Via Marisol & Ave 60,Path,33,8,25,0,0,18,3,15,0,0,15,5,10,0,0,68,7,61,0,0,49,56,4,52,0,0,39,12,3,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1027688,-118.1920639
23-10,Avenue 50,York Blvd,Lincoln Ave,Avenue 50 bw York Blvd & Lincoln Ave,Route,586,282,304,2,20,338,161,177,1,17,248,121,127,1,3,37,4,33,4,1,27,30,3,27,4,0,21,7,1,6,0,1,6,4,0,4,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,5,1,4,2,0,3,2,0,2,2,0,0,3,1,2,3,0,1,34.1214875,-118.2069015
23-100,Balboa Blvd,Nordhoff St,Halsey St,Balboa Blvd bw Nordhoff St & Halsey St,None,246,103,143,1,1,215,96,119,1,1,31,7,24,0,0,16,0,16,13,0,4,12,0,12,12,0,2,4,0,4,1,0,2,4,0,4,4,0,0,4,0,4,4,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,2,2,0,0,0,,,,,,34.2357706,-118.5025546
23-11,Broadway,College St,Alpine St,Broadway bw College St & Alpine St,Path,1923,564,1359,4,12,849,191,658,1,4,1074,373,701,3,8,145,0,139,29,3,19,107,6,101,24,2,8,38,0,38,5,1,11,21,1,20,6,1,0,14,1,13,3,0,0,7,0,7,3,1,0,5,2,3,3,0,2,3,2,1,3,0,0,2,0,2,2,0,0,34.063954,-118.2372214
23-12,Canoga Av,Gault St,Sherman Way,Canoga Av bw Gault St & Sherman Way,Path,201,23,178,2,3,201,23,178,2,3,0,,,,,104,3,101,15,11,32,104,3,101,15,11,32,0,,,,,,18,1,17,4,2,2,18,1,17,4,2,2,0,,,,,,4,0,4,3,2,0,4,0,4,1,2,0,0,,,,,,34.1992185,-118.5977179
